用例编号,传感器温度,输入电压,散热风扇状态,运行模式,预期结果
TC_0001,-40度(下限),9V(欠压),正常运转,待机,待补充
TC_0002,-40度(下限),9V(欠压),正常运转,全负载,待补充
TC_0003,-40度(下限),9V(欠压),正常运转,低功耗,待补充
TC_0004,-40度(下限),9V(欠压),堵转告警,待机,待补充
TC_0005,-40度(下限),9V(欠压),堵转告警,全负载,待补充
TC_0006,-40度(下限),9V(欠压),堵转告警,低功耗,待补充
TC_0007,-40度(下限),9V(欠压),未连接,待机,待补充
TC_0008,-40度(下限),9V(欠压),未连接,全负载,待补充
TC_0009,-40度(下限),9V(欠压),未连接,低功耗,待补充
TC_0010,-40度(下限),12V(额定),正常运转,待机,待补充
TC_0011,-40度(下限),12V(额定),正常运转,全负载,待补充
TC_0012,-40度(下限),12V(额定),正常运转,低功耗,待补充
TC_0013,-40度(下限),12V(额定),堵转告警,待机,待补充
TC_0014,-40度(下限),12V(额定),堵转告警,全负载,待补充
TC_0015,-40度(下限),12V(额定),堵转告警,低功耗,待补充
TC_0016,-40度(下限),12V(额定),未连接,待机,待补充
TC_0017,-40度(下限),12V(额定),未连接,全负载,待补充
TC_0018,-40度(下限),12V(额定),未连接,低功耗,待补充
TC_0019,-40度(下限),16V(过压),正常运转,待机,待补充
TC_0020,-40度(下限),16V(过压),正常运转,全负载,待补充
TC_0021,-40度(下限),16V(过压),正常运转,低功耗,待补充
TC_0022,-40度(下限),16V(过压),堵转告警,待机,待补充
TC_0023,-40度(下限),16V(过压),堵转告警,全负载,待补充
TC_0024,-40度(下限),16V(过压),堵转告警,低功耗,待补充
TC_0025,-40度(下限),16V(过压),未连接,待机,待补充
TC_0026,-40度(下限),16V(过压),未连接,全负载,待补充
TC_0027,-40度(下限),16V(过压),未连接,低功耗,待补充
TC_0028,25度(常温),9V(欠压),正常运转,待机,待补充
TC_0029,25度(常温),9V(欠压),正常运转,全负载,待补充
TC_0030,25度(常温),9V(欠压),正常运转,低功耗,待补充
TC_0031,25度(常温),9V(欠压),堵转告警,待机,待补充
TC_0032,25度(常温),9V(欠压),堵转告警,全负载,待补充
TC_0033,25度(常温),9V(欠压),堵转告警,低功耗,待补充
TC_0034,25度(常温),9V(欠压),未连接,待机,待补充
TC_0035,25度(常温),9V(欠压),未连接,全负载,待补充
TC_0036,25度(常温),9V(欠压),未连接,低功耗,待补充
TC_0037,25度(常温),12V(额定),正常运转,待机,待补充
TC_0038,25度(常温),12V(额定),正常运转,全负载,待补充
TC_0039,25度(常温),12V(额定),正常运转,低功耗,待补充
TC_0040,25度(常温),12V(额定),堵转告警,待机,待补充
TC_0041,25度(常温),12V(额定),堵转告警,全负载,待补充
TC_0042,25度(常温),12V(额定),堵转告警,低功耗,待补充
TC_0043,25度(常温),12V(额定),未连接,待机,待补充
TC_0044,25度(常温),12V(额定),未连接,全负载,待补充
TC_0045,25度(常温),12V(额定),未连接,低功耗,待补充
TC_0046,25度(常温),16V(过压),正常运转,待机,待补充
TC_0047,25度(常温),16V(过压),正常运转,全负载,待补充
TC_0048,25度(常温),16V(过压),正常运转,低功耗,待补充
TC_0049,25度(常温),16V(过压),堵转告警,待机,待补充
TC_0050,25度(常温),16V(过压),堵转告警,全负载,待补充
TC_0051,25度(常温),16V(过压),堵转告警,低功耗,待补充
TC_0052,25度(常温),16V(过压),未连接,待机,待补充
TC_0053,25度(常温),16V(过压),未连接,全负载,待补充
TC_0054,25度(常温),16V(过压),未连接,低功耗,待补充
TC_0055,85度(上限),9V(欠压),正常运转,待机,待补充
TC_0056,85度(上限),9V(欠压),正常运转,全负载,待补充
TC_0057,85度(上限),9V(欠压),正常运转,低功耗,待补充
TC_0058,85度(上限),9V(欠压),堵转告警,待机,待补充
TC_0059,85度(上限),9V(欠压),堵转告警,全负载,待补充
TC_0060,85度(上限),9V(欠压),堵转告警,低功耗,待补充
TC_0061,85度(上限),9V(欠压),未连接,待机,待补充
TC_0062,85度(上限),9V(欠压),未连接,全负载,待补充
TC_0063,85度(上限),9V(欠压),未连接,低功耗,待补充
TC_0064,85度(上限),12V(额定),正常运转,待机,待补充
TC_0065,85度(上限),12V(额定),正常运转,全负载,待补充
TC_0066,85度(上限),12V(额定),正常运转,低功耗,待补充
TC_0067,85度(上限),12V(额定),堵转告警,待机,待补充
TC_0068,85度(上限),12V(额定),堵转告警,全负载,待补充
TC_0069,85度(上限),12V(额定),堵转告警,低功耗,待补充
TC_0070,85度(上限),12V(额定),未连接,待机,待补充
TC_0071,85度(上限),12V(额定),未连接,全负载,待补充
TC_0072,85度(上限),12V(额定),未连接,低功耗,待补充
TC_0073,85度(上限),16V(过压),正常运转,待机,待补充
TC_0074,85度(上限),16V(过压),正常运转,全负载,待补充
TC_0075,85度(上限),16V(过压),正常运转,低功耗,待补充
TC_0076,85度(上限),16V(过压),堵转告警,待机,待补充
TC_0077,85度(上限),16V(过压),堵转告警,全负载,待补充
TC_0078,85度(上限),16V(过压),堵转告警,低功耗,待补充
TC_0079,85度(上限),16V(过压),未连接,待机,待补充
TC_0080,85度(上限),16V(过压),未连接,全负载,待补充
TC_0081,85度(上限),16V(过压),未连接,低功耗,待补充
TC_0082,100度(越界),9V(欠压),正常运转,待机,待补充
TC_0083,100度(越界),9V(欠压),正常运转,全负载,待补充
TC_0084,100度(越界),9V(欠压),正常运转,低功耗,待补充
TC_0085,100度(越界),9V(欠压),堵转告警,待机,待补充
TC_0086,100度(越界),9V(欠压),堵转告警,全负载,待补充
TC_0087,100度(越界),9V(欠压),堵转告警,低功耗,待补充
TC_0088,100度(越界),9V(欠压),未连接,待机,待补充
TC_0089,100度(越界),9V(欠压),未连接,全负载,待补充
