case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
1,nan,1,5,50,1,0,1,1,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.135,2025-08-29 15:15:14
2,nan,1,6,50,1,1,1,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.19,2025-08-29 15:15:14
3,nan,1,6,50,2,2,2,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.182,2025-08-29 15:15:14
4,nan,1,6,100,0,1,2,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.199,2025-08-29 15:15:14
5,nan,1,6,100,1,0,2,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.187,2025-08-29 15:15:15
6,nan,1,6,100,2,0,2,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.176,2025-08-29 15:15:15
7,nan,1,7,50,0,0,1,2,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.184,2025-08-29 15:15:15
8,nan,1,7,50,0,1,1,1,1,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.188,2025-08-29 15:15:15
9,nan,1,7,50,1,1,2,0,0,1,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.182,2025-08-29 15:15:15
10,nan,1,7,50,2,0,1,0,1,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.193,2025-08-29 15:15:16
11,nan,1,7,100,1,0,1,0,2,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.173,2025-08-29 15:15:16
12,nan,1,7,100,1,0,2,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.193,2025-08-29 15:15:16
13,nan,1,7,100,1,0,2,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.192,2025-08-29 15:15:16
14,nan,1,7,100,1,2,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.187,2025-08-29 15:15:16
