case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,recv_ok,read_ok,recv_hex,read_hex,verdict,checks,elapsed_s,timestamp
1,,1,5,0,0,0,0,0,0,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 B3 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 33 33 33 33 33 33 6A 55,PASS,未提供期望项（按通过处理）,2.33,2025-08-25 20:18:45
2,,1,5,0,0,0,0,0,0,1,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 33 35 33 33 33 33 33 33 33 33 33 33 33 33 33 ED 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 35 33 33 33 33 33 9B 55,PASS,未提供期望项（按通过处理）,2.36,2025-08-25 20:18:48
3,,1,5,0,0,0,0,0,0,2,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 33 37 33 33 33 33 33 33 33 33 33 33 33 33 33 2C 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 37 33 33 33 33 33 3F 55,PASS,未提供期望项（按通过处理）,2.357,2025-08-25 20:18:50
4,,1,5,0,0,0,0,0,1,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 B3 33 33 33 33 33 33 33 33 33 33 33 33 33 33 C0 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 B3 33 33 33 33 33 33 43 55,PASS,未提供期望项（按通过处理）,2.36,2025-08-25 20:18:52
5,,1,5,0,0,0,0,0,1,1,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 36 33 33 33 3E 33 33 33 33 B3 35 33 33 33 33 33 33 33 33 33 33 33 33 33 6B 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 B3 35 33 33 33 33 33 B2 55,PASS,未提供期望项（按通过处理）,2.37,2025-08-25 20:18:55
6,,1,5,0,0,0,0,0,1,2,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 B3 37 33 33 33 33 33 33 33 33 33 33 33 33 33 5F 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 B3 37 33 33 33 33 33 16 55,PASS,未提供期望项（按通过处理）,2.374,2025-08-25 20:18:57
7,,1,5,0,0,0,0,0,2,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 C7 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 34 33 33 33 33 33 C9 55,PASS,未提供期望项（按通过处理）,2.355,2025-08-25 20:19:00
8,,1,5,0,0,0,0,0,2,1,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 33 36 33 33 33 33 33 33 33 33 33 33 33 33 33 06 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 36 33 33 33 33 33 6D 55,PASS,未提供期望项（按通过处理）,2.345,2025-08-25 20:19:02
9,,1,5,0,0,0,0,0,2,2,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 37 33 33 33 3E 33 33 33 33 33 38 33 33 33 33 33 33 33 33 33 33 33 33 33 66 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 33 38 33 33 33 33 33 36 55,PASS,未提供期望项（按通过处理）,2.348,2025-08-25 20:19:04
10,,1,5,0,0,0,0,1,0,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 37 33 38 33 33 33 3E 33 33 33 33 53 33 33 33 33 33 33 33 33 33 33 33 33 33 33 A2 55,A5 60 9F A5 81 0D 3B 3E 33 33 33 33 53 33 33 33 33 33 33 FD 55,PASS,未提供期望项（按通过处理）,2.353,2025-08-25 20:19:07
